model,threshold,input_t1,output_t1,input_t2,output_t2
accounts/fireworks/models/qwen2p5-1p5b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-32b,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-32b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-72b,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-72b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-7b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2p5-coder-0p5b,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-coder-0p5b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-coder-14b,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2p5-coder-14b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2p5-coder-1p5b,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-coder-1p5b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-coder-32b,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-coder-32b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-coder-32b-instruct-128k,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-coder-32b-instruct-32k-rope,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-coder-32b-instruct-64k,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-coder-3b,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-coder-3b-instruct,0,1e-07,1e-07,,
accounts/fireworks/models/qwen2p5-coder-7b,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2p5-coder-7b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2p5-math-72b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-vl-32b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-vl-3b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen2p5-vl-72b-instruct,0,9e-07,9e-07,,
accounts/fireworks/models/qwen2p5-vl-7b-instruct,0,2e-07,2e-07,,
accounts/fireworks/models/qwen3-0p6b,0,1e-07,1e-07,,
accounts/fireworks/models/qwen3-14b,0,2e-07,2e-07,,
accounts/fireworks/models/qwen3-1p7b,0,1e-07,1e-07,,
accounts/fireworks/models/qwen3-1p7b-fp8-draft,0,1e-07,1e-07,,
accounts/fireworks/models/qwen3-1p7b-fp8-draft-131072,0,1e-07,1e-07,,
accounts/fireworks/models/qwen3-1p7b-fp8-draft-40960,0,1e-07,1e-07,,
accounts/fireworks/models/qwen3-235b-a22b,0,2.2e-07,8.8e-07,,
